dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,,,,,YEAR,,,,
1850-01-01,0.749,1.105,8.242,1.738,-3.206,2.822,12.833,0.367,,,,,1850,,,,
1850-02-01,3.071,1.275,9.97,3.007,-2.291,1.623,13.588,0.414,,,,,1850,,,,
1850-03-01,4.954,0.955,10.347,2.401,-1.905,1.41,14.043,0.341,,,,,1850,,,,
1850-04-01,7.217,0.665,12.934,1.004,1.018,1.329,14.667,0.267,,,,,1850,,,,
1850-05-01,10.004,0.617,15.655,2.406,3.811,1.347,15.507,0.249,,,,,1850,,,,
1850-06-01,13.15,0.614,18.946,2.817,7.106,0.857,16.353,0.245,,,,,1850,,,,
1850-07-01,14.492,0.614,19.233,2.84,8.014,0.786,16.783,0.238,,,,,1850,,,,
1850-08-01,14.039,0.802,18.477,2.079,7.406,1.086,16.718,0.28,,,,,1850,,,,
1850-09-01,11.505,0.675,15.846,2.692,4.533,1.798,15.886,0.254,,,,,1850,,,,
1850-10-01,8.091,0.863,13.189,2.338,2.013,2.133,14.831,0.297,,,,,1850,,,,
1850-11-01,4.733,1.149,11.388,3.491,-0.12,1.069,13.897,0.368,,,,,1850,,,,
1850-12-01,2.803,1.183,7.493,1.925,-2.807,2.594,13.3,0.378,,,,,1850,,,,
1851-01-01,2.431,1.122,8.951,2.399,-2.443,1.771,13.245,0.362,,,,,1851,,,,
1851-02-01,2.508,1.1,9.808,2.654,-1.507,2.714,13.331,0.361,,,,,1851,,,,
1851-03-01,4.192,0.971,11.507,2.037,-0.7,1.611,13.897,0.33,,,,,1851,,,,
1851-04-01,7.287,0.829,14.236,1.97,2.331,1.281,14.64,0.298,,,,,1851,,,,
1851-05-01,11.113,0.936,15.01,3.184,4.136,1.011,15.771,0.322,,,,,1851,,,,
1851-06-01,13.418,0.655,17.288,3.187,6.374,1.13,16.496,0.261,,,,,1851,,,,
1851-07-01,14.531,0.606,17.103,3.751,7.425,1.48,16.831,0.244,,,,,1851,,,,
1851-08-01,13.751,0.775,17.361,1.392,6.595,1.281,16.621,0.276,,,,,1851,,,,
1851-09-01,11.677,0.581,16.36,2.496,5.525,1.643,16.058,0.25,,,,,1851,,,,
1851-10-01,9.122,1.058,14.961,1.915,3.298,1.297,15.213,0.358,,,,,1851,,,,
1851-11-01,4.973,0.968,7.951,1.833,-1.345,1.527,14.161,0.344,,,,,1851,,,,
1851-12-01,3.14,0.982,6.436,1.949,-3.242,2.843,13.638,0.339,,,,,1851,,,,
1852-01-01,2.376,1.389,8.474,4.24,-2.755,1.705,13.231,0.438,,,,,1852,,,,
1852-02-01,2.54,1.115,8.569,2.737,-2.337,1.78,13.311,0.371,,,,,1852,,,,
1852-03-01,3.884,0.915,9.215,2.88,-2.491,1.471,13.736,0.317,,,,,1852,,,,
1852-04-01,7.487,1.158,11.249,1.491,0.647,1.256,14.786,0.377,,,,,1852,,,,
1852-05-01,11.169,0.855,15.835,2.805,4.624,0.971,15.899,0.298,,,,,1852,,,,
1852-06-01,13.164,0.636,17.76,1.925,6.705,0.683,16.619,0.243,,,,,1852,,,,
1852-07-01,14.512,0.778,17.795,2.924,7.57,1.35,16.984,0.278,,,,,1852,,,,
1852-08-01,13.304,0.766,17.567,1.812,7.429,1.222,16.566,0.277,,,,,1852,,,,
1852-09-01,11.478,0.689,16.665,1.407,5.742,1.51,16.038,0.261,,,,,1852,,,,
1852-10-01,8.91,0.654,14.849,1.498,2.813,0.963,15.178,0.25,,,,,1852,,,,
1852-11-01,4.593,0.693,12.009,4.373,0.736,1.48,13.948,0.26,,,,,1852,,,,
1852-12-01,3.785,1.371,10.781,3.339,-0.639,2.204,13.782,0.427,,,,,1852,,,,
1853-01-01,1.786,1.108,8.972,2.461,-2.818,1.556,13.143,0.356,,,,,1853,,,,
1853-02-01,2.228,1.492,8.29,1.535,-3.213,1.783,13.362,0.457,,,,,1853,,,,
1853-03-01,4.078,0.918,10.325,2.294,-1.966,1.494,14.033,0.306,,,,,1853,,,,
1853-04-01,7.541,0.824,13.72,2.69,1.655,1.15,14.919,0.283,,,,,1853,,,,
1853-05-01,10.975,0.743,16.543,3.36,4.364,0.782,15.793,0.261,,,,,1853,,,,
1853-06-01,13.41,0.674,18.611,1.124,6.944,1.418,16.455,0.24,,,,,1853,,,,
1853-07-01,14.645,0.659,18.923,2.058,6.933,1.195,16.999,0.238,,,,,1853,,,,
1853-08-01,13.953,0.723,19.308,1.2,7.273,0.879,16.789,0.25,,,,,1853,,,,
1853-09-01,11.71,0.749,17.691,1.847,5.779,0.928,15.942,0.259,,,,,1853,,,,
1853-10-01,8.535,0.546,14.757,2.451,1.85,2.277,14.874,0.211,,,,,1853,,,,
1853-11-01,4.783,0.868,11.269,2.15,-0.076,1.277,13.829,0.29,,,,,1853,,,,
1853-12-01,2.858,0.716,8.23,1.971,-4.015,1.528,13.324,0.255,,,,,1853,,,,
1854-01-01,1.281,0.977,8.786,2.589,-3.552,1.362,12.983,0.313,,,,,1854,,,,
1854-02-01,1.941,1.08,8.508,1.863,-4.109,1.467,13.248,0.342,,,,,1854,,,,
1854-03-01,4.698,0.789,10.469,2.107,-1.413,1.517,14.089,0.267,,,,,1854,,,,
1854-04-01,7.622,0.674,13.402,2.16,0.566,1.25,14.945,0.242,,,,,1854,,,,
1854-05-01,11.095,0.638,16.748,1.513,4.184,1.306,15.793,0.233,,,,,1854,,,,
1854-06-01,12.829,0.533,18.188,0.964,6.493,0.902,16.286,0.206,,,,,1854,,,,
1854-07-01,14.692,0.85,20.426,1.853,7.89,0.912,16.775,0.282,,,,,1854,,,,
1854-08-01,13.889,0.898,19.291,1.36,7.303,1.021,16.707,0.288,,,,,1854,,,,
1854-09-01,11.514,0.552,17.357,1.142,5.554,1.22,16.098,0.21,,,,,1854,,,,
1854-10-01,9.763,0.964,15.341,1.312,3.033,1.229,15.378,0.309,,,,,1854,,,,
1854-11-01,5.745,0.786,10.707,1.954,-1.406,1.635,14.123,0.261,,,,,1854,,,,
1854-12-01,3.457,1.167,8.506,2.583,-3.397,2.463,13.467,0.364,,,,,1854,,,,
1855-01-01,2.522,1.465,8.22,1.099,-3.125,1.699,13.384,0.442,,,,,1855,,,,
1855-02-01,2.982,1.322,7.604,3.083,-4.947,2.343,13.646,0.402,,,,,1855,,,,
1855-03-01,4.617,0.898,10.16,1.69,-1.865,1.338,14.172,0.294,,,,,1855,,,,
1855-04-01,8.58,1.034,13.709,1.024,1.141,1.06,15.187,0.328,,,,,1855,,,,
1855-05-01,11.186,0.799,16.77,0.651,4.286,0.866,15.822,0.267,,,,,1855,,,,
1855-06-01,12.984,0.79,17.642,1.197,6.476,1.231,16.445,0.264,,,,,1855,,,,
1855-07-01,13.926,0.635,18.467,0.784,7.691,0.703,16.675,0.225,,,,,1855,,,,
1855-08-01,13.547,0.601,19.012,0.957,6.931,1.345,16.685,0.214,,,,,1855,,,,
1855-09-01,11.141,0.638,17.078,0.741,5.499,1.531,15.829,0.226,,,,,1855,,,,
1855-10-01,8.444,0.778,14.26,2.029,2.317,2.929,15.075,0.264,,,,,1855,,,,
1855-11-01,5.186,0.69,11.117,1.118,-0.517,2.963,14.118,0.246,,,,,1855,,,,
1855-12-01,2.214,0.996,7.879,1.604,-3.453,1.856,13.215,0.322,,,,,1855,,,,
1856-01-01,2.76,0.752,7.298,2.331,-3.727,2.795,13.368,0.261,,,,,1856,,,,
1856-02-01,2.226,0.953,8.294,2.111,-3.679,3.428,13.311,0.306,,,,,1856,,,,
1856-03-01,4.372,0.735,10.327,2.441,-2.241,2.56,13.957,0.252,,,,,1856,,,,
1856-04-01,7.751,0.57,14.387,1.399,1.242,1.025,14.945,0.217,,,,,1856,,,,
1856-05-01,10.53,0.915,16.704,2.209,3.945,0.881,15.813,0.296,,,,,1856,,,,
