Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.03,-.35,-.12,.00,-.82,-.44,-.27,-.15,-.09,-.02,.05,.65
1881,-.07,-.16,.01,-.32,.11,-.06,-.92,-.40,-.18,.10,.12,-.04,-.07,.57
1882,-.10,-.20,.00,-.29,-.04,.02,-1.41,-.23,-.13,-.04,-.04,.03,.04,.61
1883,-.16,-.26,-.06,-.32,-.16,.00,-.19,-.52,-.23,-.17,-.14,-.02,.07,.48
1884,-.27,-.42,-.14,-.59,-.14,-.13,-1.30,-.61,-.46,-.13,-.15,-.18,-.02,.63
1885,-.32,-.42,-.23,-.64,-.12,-.27,-1.51,-.65,-.44,-.05,-.19,-.32,-.15,.80
1886,-.30,-.42,-.19,-.55,-.18,-.21,-1.59,-.47,-.40,-.20,-.17,-.19,-.21,.57
1887,-.35,-.42,-.28,-.51,-.28,-.27,-1.76,-.48,-.28,-.28,-.29,-.26,-.26,.30
1888,-.16,-.22,-.11,-.41,.11,-.28,-1.31,-.40,-.24,.08,.13,-.30,-.22,.14
1889,-.10,-.17,-.03,-.28,.09,-.16,-.69,-.19,-.27,.03,.14,-.14,-.15,.43
1890,-.34,-.37,-.32,-.45,-.36,-.22,-1.14,-.53,-.27,-.25,-.47,-.16,-.27,.13
1891,-.22,-.25,-.19,-.43,-.07,-.21,-1.15,-.33,-.36,.02,-.16,-.17,-.24,-.18
1892,-.27,-.39,-.15,-.44,-.29,-.07,-1.18,-.64,-.17,-.31,-.26,.03,-.21,.07
1893,-.31,-.47,-.15,-.52,-.35,-.04,-.74,-.54,-.47,-.40,-.30,.08,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.32,-.23,-1.00,-.33,-.19,-.47,-.18,-.14,-.35,-.40
1895,-.22,-.30,-.14,-.41,-.06,-.25,-.73,-.52,-.27,-.13,.01,-.19,-.32,-.60
1896,-.11,-.19,-.02,-.36,.11,-.14,-.94,-.36,-.22,.07,.15,-.14,-.13,.23
1897,-.11,-.16,-.05,-.36,.17,-.23,-.62,-.46,-.24,.15,.20,-.18,-.27,.38
1898,-.27,-.27,-.26,-.34,-.22,-.26,-1.17,-.19,-.23,-.17,-.26,-.27,-.21,.36
1899,-.17,-.21,-.14,-.25,-.11,-.18,-1.09,-.09,-.15,-.15,-.08,-.14,-.22,.56
1900,-.07,-.08,-.06,-.20,.18,-.29,-.57,-.12,-.16,.10,.25,-.27,-.29,.25
1901,-.15,-.12,-.18,-.16,-.03,-.30,-.43,-.09,-.14,-.05,-.01,-.26,-.33,.24
1902,-.27,-.32,-.22,-.52,-.03,-.34,-1.35,-.49,-.32,-.01,-.05,-.27,-.43,-.07
1903,-.36,-.37,-.36,-.46,-.28,-.38,-.23,-.40,-.56,-.22,-.33,-.34,-.40,-.48
1904,-.47,-.47,-.46,-.50,-.46,-.43,-.18,-.58,-.55,-.43,-.50,-.36,-.49,-1.30
1905,-.26,-.29,-.23,-.41,-.09,-.35,-.10,-.21,-.62,-.11,-.06,-.32,-.37,-.32
1906,-.22,-.23,-.21,-.26,-.19,-.22,-.32,-.05,-.39,-.19,-.19,-.19,-.22,-.69
1907,-.38,-.47,-.30,-.59,-.30,-.28,-.62,-.71,-.51,-.29,-.32,-.20,-.37,-1.18
1908,-.42,-.45,-.40,-.48,-.43,-.35,-.28,-.53,-.51,-.40,-.47,-.28,-.48,.69
1909,-.48,-.49,-.48,-.53,-.48,-.43,-.79,-.60,-.43,-.43,-.53,-.36,-.52,-.55
1910,-.43,-.43,-.43,-.41,-.48,-.37,-.60,-.23,-.49,-.47,-.49,-.32,-.45,.18
1911,-.44,-.42,-.45,-.42,-.42,-.47,-.30,-.41,-.47,-.42,-.43,-.43,-.52,.07
1912,-.36,-.46,-.25,-.59,-.18,-.36,-.53,-.78,-.50,-.26,-.09,-.36,-.29,-1.62
1913,-.35,-.42,-.26,-.44,-.28,-.34,-.53,-.32,-.50,-.40,-.15,-.27,-.40,-1.02
1914,-.16,-.20,-.11,-.25,-.07,-.17,-.40,-.16,-.28,-.12,-.02,-.15,-.18,-.35
1915,-.14,-.14,-.13,-.24,-.01,-.21,-.63,-.16,-.19,.00,-.02,-.14,-.23,-1.96
1916,-.36,-.42,-.30,-.37,-.45,-.22,-.48,-.54,-.24,-.49,-.40,-.22,-.17,-1.03
1917,-.46,-.58,-.36,-.50,-.64,-.18,-.85,-.49,-.43,-.68,-.58,-.22,-.09,.08
1918,-.29,-.39,-.20,-.41,-.33,-.13,-1.04,-.26,-.35,-.37,-.29,-.05,-.23,-.26
1919,-.27,-.35,-.20,-.44,-.19,-.22,-.73,-.55,-.30,-.22,-.17,-.14,-.32,.22
1920,-.27,-.30,-.24,-.25,-.25,-.32,-.04,-.20,-.35,-.37,-.13,-.18,-.48,-1.12
1921,-.19,-.11,-.26,.01,-.25,-.30,-.01,.18,-.09,-.28,-.22,-.22,-.38,-.82
1922,-.28,-.27,-.29,-.25,-.31,-.27,-.32,-.40,-.13,-.31,-.31,-.23,-.28,-.26
1923,-.26,-.21,-.30,-.15,-.29,-.33,.15,-.15,-.25,-.31,-.27,-.26,-.41,-.53
1924,-.27,-.18,-.35,-.13,-.25,-.43,.44,-.25,-.22,-.26,-.25,-.39,-.45,-.51
1925,-.22,-.13,-.30,-.04,-.23,-.37,-.08,.18,-.18,-.27,-.20,-.24,-.55,-.84
